United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offense Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"by Agency, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,Agency Type,Agency Name,Population1,Crimes Against Persons,,,,,,,,,,,,,,,,,Crimes Against Property,,,,,,,,,,,,,,,,,,,,,,,,,Crimes Against Society,,,,,,,,,,,,
,,,,"Assault
Offenses","Aggravated
Assault","Simple
Assault",Intimidation,"Homicide
Offenses",Murder and Nonnegligent Manslaughter,"Negligent
Manslaughter","Justifiable
Homicide","Kidnapping/
Abduction","Sex
Offenses",Rape,Sodomy,"Sexual
Assault
With An
Object",Fondling,"Sex
Offenses,
Nonforcible",Incest,"Statutory
Rape",Arson,Bribery,"Burglary/
Breaking &
Entering","Counter-
feiting/
Forgery","Destruction/
Damage/
Vandalism","Embezzle-
ment","Extortion/
Blackmail","Fraud
Offenses","False
Pretenses/
Swindle/
Confidence
Game","Credit Card/
Automated
Teller
Machine Fraud","Imperson-
ation","Welfare
Fraud","Wire
Fraud","Larceny-
Theft
Offenses","Pocket-
picking","Purse-
snatching","Shop-
lifting","Theft
From
Building","Theft
From
Coin-
operated
Machine","Theft
From
Motor
Vehicle","Theft of
Motor
Vehicle
Parts or
Accessories","All
Other
Larceny","Motor
Vehicle
Theft",Robbery,"Stolen
Property
Offenses ","Drug/
Narcotic
Offenses","Drug/
Narcotic
Violations","Drug
Equipment
Violations","Gambling
Offenses","Betting/
Wagering","Operating/
Promoting/
Assisting
Gambling","Gambling
Equipment
Violations","Sports
Tampering","Porno-
graphy/
Obscene
Material","Prost-
itution
Offenses","Prost-
itution","Assisting
or Pro-
moting
Prost-
itution","Weapon
Law
Violations"
,,Berlin,"2,903",8,1,,7,,,,,,,,,,,,,,,,1,,18,,,2,,2,,,,41,,1,1,10,,18,,11,1,,,3,3,,,,,,,,,,,
,,Bernardston,"2,154",28,4,20,4,,,,,,,,,,,1,,1,,,13,1,18,,,9,6,,3,,,16,,,,7,,1,,8,,,,7,7,,,,,,,,,,,2
,,Beverly,"40,150",318,62,198,58,,,,,1,16,8,1,,7,1,1,,3,,116,3,337,,,93,25,38,26,,4,507,1,6,33,26,,195,10,236,12,13,,117,71,46,,,,,,,,,,3
,,Billerica,"41,016",198,41,109,48,1,1,,,2,11,10,1,,,2,,2,4,,90,5,254,1,,119,8,66,26,,19,359,,,57,40,,80,19,163,23,7,,27,22,5,,,,,,1,2,2,,10
,,Blackstone,"9,138",86,13,51,22,,,,,,2,1,1,,,1,,1,2,,12,2,51,1,,15,9,2,4,,,116,1,,2,23,,20,,70,9,2,,12,12,,,,,,,1,,,,4
,,Bolton,"4,959",41,9,21,11,,,,,,1,1,,,,3,,3,,1,21,,45,,,18,6,4,8,,,27,,,,4,,1,1,21,4,,,30,30,,,,,,,1,,,,6
,,Bourne,"19,921",391,60,255,76,,,,,2,13,8,2,,3,7,3,4,5,,270,18,288,4,,108,67,14,26,,1,267,,2,52,29,,9,3,172,30,8,16,41,39,2,,,,,,1,,,,10
,,Boxborough,"5,094",11,1,7,3,,,,,,,,,,,,,,1,,4,3,11,,,7,1,4,2,,,51,,,2,13,,11,,25,,,1,23,23,,,,,,,,,,,
,,Boxford,"8,099",2,,1,1,,,,,,,,,,,,,,,,7,1,23,,,3,2,,,,1,26,,,,12,1,7,,6,4,,,,,,,,,,,,,,,
,,Braintree,"36,310",163,13,137,13,,,,,2,6,2,,,4,2,1,1,2,,133,40,38,4,,88,19,66,3,,,533,9,6,202,143,1,104,8,60,38,15,9,85,80,5,,,,,,1,1,1,,2
,,Brewster,"9,902",60,13,38,9,,,,,,2,,1,,1,3,1,2,1,,47,7,65,,,34,18,7,9,,,138,,1,1,25,,27,,84,4,2,2,16,16,,,,,,,,,,,2
,,Brimfield,"3,643",10,5,2,3,,,,,1,1,1,,,,,,,,,6,,11,3,,9,5,2,2,,,26,,,,2,,,,24,,,1,2,2,,,,,,,1,,,,
,,Brockton,"95,156","2,598",814,"1,406",378,7,6,1,,33,92,49,15,1,27,37,1,36,33,1,835,84,"1,302",14,1,240,111,46,83,,,"2,292",32,33,303,181,,636,15,"1,092",218,226,30,295,295,,,,,,,7,72,72,,129
,,Brookline,"59,658",218,47,139,32,,,,,1,17,4,,1,12,,,,,,149,11,229,,1,51,18,21,3,,9,733,26,7,106,289,1,152,16,136,19,31,15,98,98,,,,,,,2,,,,16
,,Burlington,"24,975",141,26,69,46,1,1,,,2,9,6,3,,,9,1,8,,,59,20,175,9,,102,53,20,29,,,570,1,6,172,39,,54,,298,16,7,29,26,26,,,,,,,1,4,4,,9
,,Cambridge,"106,981","1,267",285,642,340,1,1,,,8,26,20,,,6,3,,3,8,,504,49,588,1,6,223,126,93,4,,,"2,580",186,,212,191,,616,22,"1,353",109,135,52,143,143,,1,,1,,,4,2,1,1,38
,,Canton,"21,903",130,29,68,33,,,,,1,7,1,6,,,4,,4,1,,50,13,103,6,,41,24,6,11,,,209,,4,3,31,,48,5,118,18,5,10,17,17,,,,,,,1,,,,2
,,Carver,"11,676",124,23,75,26,,,,,,3,3,,,,5,,5,2,,87,7,135,4,,28,19,2,7,,,235,1,,6,19,,37,2,170,10,2,9,27,27,,,,,,,1,1,1,,4
,,Charlton,"13,142",79,13,36,30,,,,,,3,2,1,,,1,,1,2,,48,6,62,1,,22,10,5,7,,,131,1,2,9,22,,11,,86,11,4,12,16,14,2,,,,,,5,,,,4
,,Chatham,"6,176",74,16,46,12,,,,,,4,2,,,2,3,3,,1,,32,,60,2,1,15,9,2,4,,,152,,,16,11,,17,,108,4,,7,5,5,,,,,,,,,,,1
,,Chelmsford,"34,460",69,20,34,15,,,,,2,6,,1,,5,,,,,,69,8,208,1,,84,6,50,20,,8,467,,1,133,63,,102,8,160,16,5,42,25,25,,,,,,,3,,,,3
,,Chelsea,"35,966","1,392",379,700,313,2,2,,,14,71,41,2,,28,3,,3,5,,295,36,779,4,3,186,81,23,82,,,992,40,4,139,115,,198,4,492,182,254,48,119,117,2,,,,,,2,18,17,1,78
,,Chesterfield,"1,230",5,,4,1,,,,,,,,,,,,,,,,2,,5,,,,,,,,,5,,,,1,,,,4,1,,,,,,,,,,,,,,,
,,Chicopee,"55,825","1,149",159,769,221,,,,,9,60,27,9,,24,11,2,9,7,,577,69,574,12,2,331,198,40,93,,,956,4,3,166,210,,142,154,277,125,72,32,111,111,,,,,,,1,1,1,,33
,,Clinton,"13,774",66,8,45,13,,,,,,,,,,,,,,,,10,1,10,,,3,,2,1,,,42,,2,20,6,,3,,11,8,1,1,12,9,3,,,,,,,,,,3
,,Concord,"17,995",71,10,42,19,,,,,,5,2,,,3,,,,,,20,7,75,,,51,21,12,18,,,151,1,1,7,19,,,,123,3,1,5,10,10,,,,,,,,,,,4
,,Dalton,"6,774",35,18,10,7,,,,,,,,,,,1,,1,2,,27,1,34,,,6,2,1,3,,,35,,,,17,,1,,17,5,3,2,6,6,,,,,,,1,,,,3
,,Danvers,"26,934",344,49,216,79,,,,,1,6,3,,,3,3,,3,2,,58,18,209,19,1,100,26,50,24,,,682,11,1,298,77,,113,16,166,22,6,20,40,40,,1,,1,,,4,2,2,,13
,,Dartmouth,"34,368",361,54,190,117,,,,,1,14,9,5,,,4,1,3,2,,193,24,372,2,,130,81,16,33,,,890,3,5,364,75,,77,4,362,20,11,26,65,65,,1,,,1,,2,,,,14
,,Dedham,"25,116",67,11,56,,,,,,,1,,,1,,,,,,,60,7,158,3,,37,,37,,,,536,,8,190,2,,132,2,202,27,8,,3,3,,,,,,,,,,,
,,Deerfield,"5,186",41,8,21,12,,,,,,,,,,,1,,1,,,37,1,18,,,15,9,,6,,,48,,,,14,,,,34,3,,1,15,15,,,,,,,,,,,3
,,Dennis,"14,325",212,44,126,42,,,,,,11,,9,,2,3,,3,2,,259,17,115,1,,49,25,9,14,,1,320,,4,23,62,,54,,177,5,6,5,35,35,,,,,,,,,,,6
,,Douglas,"8,576",45,7,26,12,1,,1,,,5,5,,,,2,1,1,1,,25,1,19,,,18,9,3,6,,,29,,,,6,,,,23,2,,3,22,22,,,,,,,,,,,7
,,Dover,"5,677",9,,6,3,,,,,,3,3,,,,2,2,,,,10,4,15,,,13,5,1,7,,,33,,,,21,,,,12,2,,2,2,2,,,,,,,1,,,,
,,Dracut,"30,032",34,4,30,,,,,,,3,2,1,,,,,,,,77,2,101,,,39,3,32,1,,3,212,,1,34,23,,95,12,47,22,8,,2,2,,,,,,,,,,,
,,Dudley,"11,528",125,35,75,15,,,,,3,10,3,,,7,1,,1,1,,40,3,45,,,13,8,,5,,,38,1,,2,5,,,,30,5,1,5,39,39,,,,,,,,,,,5
,,Duxbury,"15,276",16,3,13,,,,,,,,,,,,,,,,,45,,66,,,,,,,,,47,,,,,,9,,38,3,,,1,1,,,,,,,,,,,
,,East Bridgewater,"13,989",82,21,48,13,,,,,1,2,1,,,1,4,,4,3,,53,8,131,2,,42,24,6,12,,,177,,2,7,30,,59,1,78,7,2,9,15,15,,,,,,,3,,,,5
,,East Brookfield,"2,209",18,3,6,9,,,,,,,,,,,1,,1,,1,14,,17,,,1,,,1,,,24,,,2,6,,1,,15,1,,1,9,9,,,,,,,,,,,1
,,Eastham,"4,997",53,7,36,10,,,,,,2,1,1,,,3,,3,,,25,4,37,3,,16,7,4,5,,,105,,,1,12,,8,2,82,4,,,18,18,,,,,,,1,,,,1
,,Easthampton,"16,166",120,26,88,6,1,1,,,,12,7,3,,2,10,,10,,,53,11,101,1,,24,11,,13,,,154,,,9,10,,24,,111,10,1,5,25,25,,,,,,,2,1,,1,2
,,East Longmeadow,"15,871",195,18,77,100,,,,,2,6,1,,,5,3,,3,2,,80,7,175,5,,83,47,13,23,,,287,4,1,69,33,,58,14,108,11,6,11,52,52,,,,,,,3,,,,4
,,Easton,"23,342",108,20,67,21,,,,,,6,5,1,,,7,,7,,,81,16,63,3,,34,22,2,10,,,170,,2,27,24,,36,1,80,16,6,9,15,15,,,,,,,2,,,,6
,,Erving,"1,822",34,11,11,12,,,,,,3,,3,,,1,1,,,,7,,11,,,2,1,,1,,,30,,,,1,,2,,27,1,,,24,24,,,,,,,2,,,,5
,,Everett,"42,476",488,91,287,110,3,2,1,,1,21,11,,1,9,3,2,1,2,,249,7,358,1,1,145,15,56,68,1,5,619,3,4,88,72,,212,13,227,134,66,15,83,63,20,10,,4,6,,2,6,6,,7
,,Fairhaven,"16,033",220,36,118,66,1,1,,,,11,2,6,,3,1,,1,,,83,16,234,2,,54,29,12,13,,,362,3,2,66,34,,48,,209,14,11,19,38,38,,,,,,,2,,,,4
,,Fall River,"89,753","2,358",658,"1,401",299,2,2,,,32,131,54,12,,65,11,1,10,27,,811,69,"1,170",21,5,319,190,14,115,,,"1,997",30,18,376,345,,457,,771,285,263,99,267,266,1,3,,3,,,9,54,53,1,140
,,Falmouth,"31,794",507,102,281,124,,,,,9,24,11,,1,12,2,,2,3,,561,29,486,13,,122,78,18,26,,,485,7,5,40,87,,,1,345,36,17,47,95,95,,1,,1,,,7,2,2,,24
,,Fitchburg,"40,809",698,254,374,70,1,1,,,9,69,24,10,,35,16,,16,6,,310,35,614,4,,162,79,35,48,,,783,7,3,164,194,,152,31,232,48,48,43,89,87,2,,,,,,6,7,7,,41
,,Framingham,"69,605",357,129,228,,,,,,4,11,7,,1,3,1,,1,1,,259,17,367,,1,104,,9,95,,,908,4,,171,6,1,372,,354,101,21,21,118,117,1,1,1,,,,2,3,3,,21
,,Franklin,"32,134",56,2,53,1,,,,,,2,,,,2,,,,,,43,2,13,,,1,,1,,,,90,,,11,19,,42,1,17,2,9,,35,35,,,,,,,,,,,3
,,Freetown,"8,960",52,10,24,18,,,,,4,1,,1,,,4,2,2,1,,75,10,82,1,,25,17,,8,,,131,,,3,46,,20,,62,14,2,9,36,36,,1,,1,,,1,,,,3
,,Gardner,"20,474",417,73,285,59,,,,,4,13,7,3,1,2,23,,23,1,,143,24,346,1,,74,43,10,21,,,378,8,,94,56,,,,220,14,8,9,64,64,,,,,,,1,,,,8
,,Gill,"1,518",16,,9,7,,,,,,,,,,,,,,,,10,,16,,,4,2,,2,,,11,,,,3,,,,8,,,1,4,4,,,,,,,,,,,
,,Gloucester,"29,272",249,23,69,157,,,,,,11,4,,,7,1,,1,,,40,,134,,,25,1,19,3,,2,372,,1,27,171,,94,5,74,4,,,29,29,,,,,,,,,,,
,,Goshen,"1,062",,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,
,,Grafton,"17,986",54,20,26,8,,,,,,1,1,,,,4,,4,2,,40,3,64,3,,27,17,6,4,,,71,,,3,12,,1,,55,9,1,6,18,18,,,,,,,1,,,,5
,,Granby,"6,282",37,6,26,5,,,,,,1,1,,,,3,,3,1,,23,2,32,1,,29,10,6,13,,,81,,,6,24,,17,1,33,6,,4,9,9,,,,,,,1,,,,3
,,Greenfield,"17,667",304,84,178,42,1,1,,,2,17,8,2,,7,,,,4,,232,18,205,,,27,1,26,,,,356,,,53,11,,20,,272,15,22,18,38,38,,,,,,,2,1,1,,12
,,Groton,"10,851",21,6,10,5,,,,,,2,,,,2,,,,,,46,4,59,,,12,3,6,2,,1,59,,,4,8,,13,,34,4,1,1,19,18,1,,,,,,1,,,,1
,,Groveland,"6,567",15,2,13,,,,,,,,,,,,,,,,,2,,15,,,5,,5,,,,40,,,,9,,15,1,15,3,,1,1,1,,,,,,,,,,,1
,,Hadley,"5,288",54,10,26,18,1,,1,,1,4,,3,,1,1,,1,,,26,6,68,1,,32,17,5,10,,,231,1,4,96,11,,24,1,94,4,4,13,8,8,,,,,,,2,,,,2
,,Halifax,"7,627",50,15,31,4,,,,,,3,2,1,,,,,,1,,22,4,46,,1,19,11,1,7,,,52,,1,9,14,,5,,23,7,2,2,9,9,,,,,,,1,,,,
,,Hamilton,"7,896",41,4,27,10,,,,,1,1,,,,1,2,1,1,,,11,1,24,1,,15,6,2,7,,,41,,,1,8,,8,,24,4,1,3,12,12,,,,,,,,1,1,,2
,,Hampden,"5,188",15,5,4,6,,,,,,,,,,,,,,,,15,2,30,,,5,3,,2,,,26,,,,9,,4,,13,,,2,6,6,,,,,,,1,,,,2
,,Hanover,"14,078",20,2,6,12,1,,1,,,1,,,,1,,,,,,36,3,106,,,44,3,32,5,,4,237,,5,111,18,1,24,5,73,2,1,9,17,17,,,,,,,,,,,
,,Hanson,"10,357",60,25,29,6,,,,,,4,3,,,1,2,,2,,,33,1,71,1,,3,2,1,,,,85,,,3,11,,12,,59,7,1,2,17,17,,,,,,,,,,,4
,,Hardwick,"3,027",63,11,39,13,,,,,,,,,,,5,,5,,,8,,30,,,6,3,,3,,,47,,,,10,,3,,34,4,,3,11,11,,,,,,,,,,,1
,,Harvard,"6,595",7,2,4,1,,,,,,3,1,,,2,,,,,,32,1,45,,,16,4,7,2,,3,48,,,,21,,14,,13,,,1,12,8,4,,,,,,,,,,
,,Harwich,"12,345",83,24,52,7,,,,,,9,4,,,5,4,,4,1,,121,7,87,2,,29,15,8,5,,1,135,3,4,6,19,,3,,100,5,,3,16,15,1,,,,,,1,,,,5
,,Haverhill,"61,897","1,384",356,735,293,2,2,,,5,13,13,,,,6,,6,8,,400,88,785,1,2,150,114,32,4,,,"1,051",13,,122,11,,241,1,663,132,53,,160,160,,,,,,,2,13,13,,35
,,Hingham,"22,475",89,14,57,18,,,,,2,1,1,,,,,,,1,,89,15,127,,,45,17,16,12,,,279,5,,103,24,,2,2,143,11,3,7,30,30,,,,,,,1,,,,2
,,Holden,"17,562",80,4,57,19,,,,,,5,3,1,,1,1,,1,1,,20,3,55,,1,27,15,3,9,,,78,,,3,23,,5,1,46,3,1,7,38,37,1,,,,,,,2,2,,2
,,Holliston,"13,811",40,8,27,5,,,,,,,,,,,,,,,,23,4,32,1,,7,2,3,2,,,84,,,,13,,20,,51,6,,1,10,10,,,,,,,,,,,1
,,Holyoke,"40,260","1,494",262,854,378,,,,,15,34,34,,,,,,,16,,459,45,"1,095",,4,60,2,58,,,,"2,167",,2,626,13,,285,24,"1,217",112,87,65,560,560,,5,,5,,,1,7,7,,55
,,Hopedale,"5,985",54,17,20,17,,,,,1,,,,,,,,,2,,10,7,30,,,17,11,2,4,,,41,2,,,22,,1,,16,6,,1,44,44,,,,,,,,,,,5
,,Hopkinton,"15,214",36,1,35,,,,,,1,2,,,,2,,,,,,,1,36,1,,,,,,,,92,,,4,8,,21,1,58,2,1,2,10,10,,,,,,,,,,,
,,Hubbardston,"4,436",42,8,24,10,,,,,1,3,3,,,,5,3,2,,,20,1,35,,,9,3,4,2,,,33,,,,6,,2,,25,3,,3,10,9,1,,,,,,1,,,,5
,,Hudson,"19,435",204,8,21,175,,,,,,1,,1,,,,,,,,19,10,91,,,17,7,10,,,,205,,,23,,,45,2,135,11,,3,11,10,1,,,,,,,,,,
,,Hull,"10,441",122,32,71,19,,,,,2,2,2,,,,,,,,,35,3,70,,,26,11,8,7,,,84,5,,7,20,,4,1,47,6,,8,13,12,1,,,,,,,,,,1
,,Ipswich,"13,397",23,2,21,,,,,,,4,2,1,,1,,,,,,27,,84,,,32,,11,19,,2,77,,4,,10,,2,1,60,3,1,,4,2,2,,,,,,3,,,,2
,,Kingston,"12,809",109,11,68,30,,,,,1,4,3,1,,,7,,7,3,,57,3,108,2,,54,39,7,8,,,216,,,24,25,,35,1,131,7,4,28,33,33,,,,,,,,,,,4
,,Lakeville,"10,754",30,10,20,,,,,,,1,1,,,,,,,1,,71,,47,,,3,,3,,,,146,,,2,,,56,10,78,6,1,2,20,20,,,,,,,,,,,1
,,Lancaster,"8,148",21,8,5,8,,,,,,,,,,,4,,4,1,,34,1,35,2,,17,13,2,2,,,52,,,1,10,,8,1,32,2,1,1,19,19,,,,,,,,,,,4
,,Lee,"5,960",47,10,23,14,,,,,,7,5,2,,,2,,2,1,,39,5,52,1,,7,6,1,,,,96,5,,12,16,,5,,58,2,1,7,15,15,,,,,,,,3,2,1,2
,,Leicester,"11,106",56,13,29,14,,,,,,5,4,,,1,3,1,2,1,,42,5,86,1,,34,14,3,16,,1,137,9,,21,23,,7,,77,10,1,9,39,39,,,,,,,3,,,,5
,,Lenox,"5,039",25,5,13,7,,,,,,4,,3,,1,,,,1,,31,2,27,1,,9,4,2,3,,,81,,2,18,13,,6,,42,2,,4,7,7,,,,,,,,,,,
,,Leominster,"41,262",836,218,435,183,,,,,3,18,14,3,,1,18,,18,8,,269,54,546,7,1,181,100,40,41,,,"1,107",11,5,296,104,4,175,9,503,53,45,34,85,84,1,,,,,,4,,,,16
,,Lexington,"32,000",22,13,,9,,,,,,,,,,,,,,,,36,,101,,,15,3,10,1,,1,210,,,6,41,,51,4,108,,,,12,9,3,,,,,,,5,5,,1
,,Lincoln,"6,487",21,8,13,,,,,,,,,,,,,,,,,17,1,16,,,11,,8,,,3,28,,,,6,,2,,20,,,,3,3,,,,,,,,,,,2
,,Littleton,"9,097",39,10,18,11,,,,,,,,,,,3,,3,1,,36,4,47,,,25,16,7,2,,,76,,1,6,18,,1,,50,5,1,6,10,10,,,,,,,3,,,,5
,,Longmeadow,"15,936",44,4,23,17,,,,,,1,1,,,,1,,1,1,,26,12,64,1,,50,18,9,23,,,184,1,,13,41,,51,,78,5,6,4,8,8,,,,,,,,,,,2
,,Lowell,"108,539","2,543",375,"1,723",445,,,,,11,97,38,6,7,46,3,,3,27,,839,84,"1,258",16,7,352,92,141,118,,1,"2,015",,10,269,91,1,783,211,650,301,175,82,342,336,6,1,,1,,,4,89,24,65,165
,,Ludlow,"21,304",129,14,84,31,,,,,1,8,2,6,,,2,1,1,3,,115,13,125,5,,50,26,8,16,,,272,,5,21,45,,42,,159,14,12,10,27,27,,,,,,,,,,,5
,,Lunenburg,"10,212",77,25,38,14,,,,,3,6,2,2,,2,1,,1,,,52,5,65,1,,25,11,8,6,,,170,2,2,59,24,,18,,65,9,1,8,28,28,,,,,,,1,,,,3
,,Lynn,"91,846","1,640",543,"1,016",81,5,2,3,,27,105,49,3,1,52,6,,6,8,,613,80,"1,046",1,2,274,178,70,25,1,,"1,674",35,,120,59,,506,30,924,278,171,,257,257,,,,,,,2,84,80,4,80
,,Lynnfield,"11,791",61,6,43,12,,,,,1,,,,,,4,3,1,1,,30,2,71,,,22,11,8,3,,,76,1,1,,11,,21,,42,6,1,9,5,5,,,,,,,,,,,2
,,Malden,"60,605",801,190,415,196,1,1,,,3,19,19,,,,,,,7,,285,42,383,,,76,75,1,,,,812,17,1,168,21,,197,4,404,128,75,,58,58,,,,,,,,5,5,,17
,,Manchester-by-the-Sea,"5,222",7,4,1,2,,,,,,,,,,,,,,,,2,,16,,,7,1,4,,,2,24,,,1,2,,11,1,9,,,,2,2,,,,,,,,,,,
,,Marblehead,"20,142",99,23,53,23,,,,,,4,2,,,2,2,,2,1,,43,4,122,2,,32,19,13,,,,208,,,4,26,,67,,111,9,2,5,32,32,,,,,,,1,1,1,,5
,,Marion,"4,976",68,5,27,36,,,,,,2,1,,,1,1,,1,,,21,4,56,2,,23,12,3,8,,,47,,,2,15,,3,,27,2,,2,14,13,1,,,,,,1,,,,
,,Marlborough,"39,241",539,100,304,135,,,,,4,46,13,7,,26,6,,6,4,,114,40,286,5,3,143,68,37,38,,,579,1,3,53,34,,100,,388,41,6,27,46,46,,,,,,,3,,,,14
,,Marshfield,"25,496",167,33,110,24,,,,,,10,4,5,,1,1,,1,,,56,5,163,2,,42,21,9,12,,,267,1,,21,39,,58,,148,15,1,5,33,33,,,,,,,1,,,,9
,,Mashpee,"14,123",171,36,92,43,,,,,,5,4,1,,,6,1,5,3,,60,9,132,1,,38,28,8,2,,,245,1,1,29,43,,28,,143,8,7,9,55,55,,,,,,,,,,,8
,,Mattapoisett,"6,133",29,5,13,11,,,,,,1,1,,,,,,,,,32,7,45,,,8,4,4,,,,81,,,,17,,9,,55,2,1,3,21,21,,,,,,,,,,,2
,,Maynard,"10,303",93,20,45,28,,,,,1,4,3,1,,,4,,4,,,13,7,40,1,1,24,5,8,11,,,147,,1,3,19,,55,,69,7,1,5,31,31,,,,,,,,,,,5
,,Medfield,"12,216",38,13,15,10,,,,,,2,2,,,,1,,1,,,13,2,35,1,,34,12,14,8,,,59,,,,9,,7,1,42,,1,2,18,18,,,,,,,,,,,4
,,Medway,"12,956",37,9,26,2,2,2,,,1,2,1,1,,,1,,1,,,24,,55,,,7,,6,1,,,94,,,1,30,,12,,51,1,,,1,1,,,,,,,,,,,
,,Melrose,"27,506",161,31,89,41,,,,,1,1,1,,,,,,,5,,83,5,155,2,,37,26,2,9,,,220,3,,12,39,,63,2,101,17,6,4,15,15,,,,,,,,,,,
,,Mendon,"5,913",35,3,21,11,,,,,,3,2,,,1,2,,2,1,,15,4,27,1,,2,1,,1,,,27,,,,6,,,,21,4,,2,47,47,,,,,,,,,,,4
,,Merrimac,"6,446",37,6,19,12,,,,,,1,1,,,,,,,,,19,,21,1,,12,5,,6,,1,37,,,1,9,,,,27,2,,2,9,9,,,,,,,,1,1,,1
,,Methuen,"48,051",280,63,151,66,,,,,,2,1,,,1,,,,1,,142,23,273,,,161,66,66,26,,3,662,1,1,169,2,,175,19,295,70,14,4,90,69,21,,,,,,,,,,1
,,Middleboro,"23,448",230,65,137,28,,,,,3,6,2,1,,3,2,,2,4,,143,9,169,2,,57,38,9,9,,1,377,4,3,21,61,,57,2,229,22,7,36,50,50,,,,,,,,,,,6
,,Middleton,"9,130",17,14,,3,,,,,,,,,,,,,,1,,3,1,44,,,5,,5,,,,77,,,4,3,,,,70,2,,,4,4,,,,,,,,,,,
,,Milford,"28,346",271,56,169,46,1,1,,,2,16,8,6,,2,9,1,8,,1,95,9,206,9,,70,45,8,17,,,440,4,2,60,74,,46,,254,22,14,17,55,53,2,,,,,,2,2,2,,13
,,Millbury,"13,425",130,32,90,8,,,,,,13,6,3,,4,4,,4,1,,55,7,68,3,,48,28,14,6,,,256,1,,90,18,,23,,124,11,2,6,24,24,,,,,,,5,,,,3
,,Millville,"3,228",17,1,8,8,,,,,,,,,,,2,,2,,,15,1,20,,,10,2,5,2,,1,29,,,,3,,11,,15,1,,2,9,9,,,,,,,,,,,1
,,Monson,"8,641",88,17,55,16,,,,,,4,3,,,1,1,,1,2,,69,3,86,2,,22,9,5,8,,,76,,1,8,18,,,,49,7,,6,25,25,,,,,,,1,,,,3
,,Montague,"8,540",139,30,86,23,,,,,2,9,7,2,,,9,,9,2,,83,6,102,3,,27,16,3,8,,,130,,,10,28,,2,,90,7,1,4,21,21,,,,,,,1,,,,
,,Monterey,965,9,4,1,4,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,1
,,Nahant,"3,467",23,6,9,8,,,,,,,,,,,,,,1,,9,1,26,,,10,4,2,4,,,26,,,,3,,1,1,21,,,2,1,1,,,,,,,,,,,
,,Nantucket,"10,232",41,12,28,1,,,,,,4,2,,,2,4,1,3,,,37,1,134,,,45,20,14,6,1,4,288,,,3,60,,34,,191,10,1,,26,22,4,,,,,,,,,,1
,,Natick,"33,646",252,52,149,51,,,,,2,9,4,,,5,,,,2,,85,34,249,2,,93,39,28,26,,,772,,13,91,172,,208,1,287,27,7,33,26,26,,,,,,,,,,,11
,,Needham,"29,342",38,2,27,9,,,,,,,,,,,,,,,,48,2,48,,,77,9,32,34,,2,220,1,,10,72,,62,8,67,8,,7,9,9,,,,,,,,3,1,2,2
,,New Bedford,"96,031","3,692",705,"1,868","1,119",2,2,,,18,139,56,22,1,60,7,1,6,29,,945,89,"1,676",25,4,406,240,37,129,,,"2,044",16,19,213,216,4,443,177,956,314,273,80,488,487,1,,,,,,13,15,15,,108
,,Newburyport,"17,708",121,18,76,27,,,,,,2,1,1,,,4,,4,1,,35,14,67,3,,47,24,10,13,,,199,,3,19,41,,40,7,89,12,2,9,42,42,,,,,,,,,,,2
,,Newton,"86,710",273,54,153,66,,,,,1,11,5,,,6,,,,2,,186,16,244,11,,111,64,46,1,,,699,1,1,65,201,,235,28,168,18,17,20,28,28,,,,,,,2,,,,11
,,Norfolk,"11,390",10,,10,,,,,,,,,,,,,,,1,,19,1,9,,,3,,3,,,,34,,,2,16,,5,2,9,3,1,,11,11,,,,,,,,,,,
,,North Adams,"13,753",471,86,361,24,,,,,2,13,5,5,,3,9,,9,2,,186,17,316,2,1,57,37,3,17,,,404,1,6,87,66,,,,244,19,6,25,35,35,,,,,,,1,,,,7
,,Northampton,"28,755",517,94,358,65,,,,,6,41,9,13,,19,2,,2,5,,138,39,295,4,,128,50,16,62,,,713,4,3,111,290,1,85,33,186,25,16,15,136,136,,,,,,,3,,,,14
,,North Attleboro,"29,001",57,,56,1,,,,,,1,,,,1,,,,,,26,6,7,13,,21,,21,,,,407,2,1,194,3,,82,,125,5,,,2,2,,,,,,,,,,,
,,Northborough,"14,329",49,15,34,,1,1,,,,,,,,,,,,,,36,,34,,,,,,,,,142,,,60,35,,13,1,33,2,,,18,18,,,,,,,1,9,9,,
,,Northbridge,"15,901",109,25,71,13,,,,,1,13,5,2,,6,17,,17,2,,112,7,151,3,1,41,24,4,13,,,364,2,3,72,31,,52,,204,15,2,4,35,35,,,,,,,5,1,1,,5
,,North Brookfield,"4,737",32,16,10,6,,,,,,1,,1,,,,,,,,28,1,16,1,,7,4,2,1,,,14,,,2,3,,,,9,4,,2,14,14,,,,,,,,,,,1
